iter	F1	Logloss
0	0.7170526977	0.6649186443
1	0.7213328098	0.6445189757
2	0.722299208	0.6277914169
3	0.7296213309	0.6187987588
4	0.7294381361	0.6059975101
5	0.7346966338	0.5994183069
6	0.7388259665	0.5925483377
7	0.7402905492	0.5869858266
8	0.7416284728	0.5815064989
9	0.7418209859	0.5750675482
10	0.7421400805	0.5703234618
11	0.7467270782	0.5659044753
12	0.7452267167	0.5618935729
13	0.7472760913	0.5577716342
14	0.7466278883	0.5544187696
15	0.7482167353	0.5508937779
16	0.7467375433	0.5451303324
17	0.7478241005	0.5417826629
18	0.7534444508	0.5376340325
19	0.7538862759	0.5349913002
20	0.7552289558	0.5326495882
21	0.7565139058	0.528986873
22	0.7566729023	0.5261736493
23	0.7634605124	0.5241800635
24	0.761636782	0.5219567148
25	0.7642509766	0.5192858662
26	0.7678984882	0.5152418534
27	0.7657582952	0.5135196099
28	0.765805169	0.5122703333
29	0.7675614195	0.510141425
30	0.769840276	0.5079874094
31	0.7693833805	0.5059889646
32	0.7719578227	0.5044152937
33	0.7718437183	0.5028811382
34	0.7732838252	0.5014299845
35	0.7755927428	0.4987659174
36	0.7755574994	0.4968631555
37	0.7768807131	0.4957783429
38	0.7764253975	0.4945590306
39	0.7760874028	0.4920678239
40	0.7754090686	0.4898427724
41	0.7769882637	0.4886345714
42	0.7781423754	0.4872872726
43	0.7801835029	0.4860657603
44	0.7843551317	0.4848723847
45	0.7848798966	0.4836951181
46	0.7858156673	0.4817380491
47	0.7873894307	0.4803597407
48	0.7873041108	0.4791771108
49	0.7872683503	0.4783565228
50	0.7861374206	0.4772004192
51	0.7863251751	0.4761565851
52	0.7870756572	0.4747994307
53	0.7892801199	0.4734007733
54	0.7895310548	0.4726874438
55	0.7909322188	0.4711162366
56	0.7912557379	0.4697022936
57	0.7906907966	0.4686923016
58	0.7936983905	0.4666382383
59	0.7930262425	0.4662372791
60	0.7942630496	0.4648448315
61	0.7955374286	0.4635585055
62	0.7964808718	0.462246201
63	0.7990711373	0.4612253331
64	0.7990077814	0.4607565946
65	0.7990801889	0.4599630039
66	0.7988389101	0.4589408912
67	0.7999093279	0.4581040675
68	0.8008970845	0.4572706845
69	0.801078558	0.455792352
70	0.801382828	0.45473801
71	0.8017598168	0.45334187
72	0.8047007676	0.4522457531
73	0.8050297366	0.4510220837
74	0.8055955471	0.450080377
75	0.8057288005	0.4493361188
76	0.8057653489	0.448934535
77	0.8087676439	0.4479564755
78	0.8097837758	0.4467216832
79	0.8098517488	0.4459214068
80	0.8103557527	0.4449096096
81	0.8095863427	0.444520171
82	0.8124929351	0.4433430282
83	0.8138486058	0.442147762
84	0.814753728	0.4416089121
85	0.8149654791	0.4409475027
86	0.8161494753	0.4400973743
87	0.8165004861	0.4390014858
88	0.8171897241	0.43815787
89	0.8175591673	0.4373788919
90	0.8177162818	0.4367802584
91	0.8180214412	0.4358213159
92	0.8193585584	0.4341314774
93	0.8197292376	0.4324908537
94	0.8200300949	0.431428405
